Label,aXavg,aXperc25,aZperc25,aZperc50
other,0.855416667,0.59,0.33,0.39
other,0.86785,0.5,0.31,0.37
other,0.857883333,0.57,0.33,0.39
other,0.87205,0.47,0.3,0.36
other,0.847616667,0.565,0.38,0.43
other,0.87915,0.53,0.33,0.4
other,0.871533333,0.51,0.33,0.36
other,0.87455,0.47,0.31,0.4
other,0.8782,0.725,0.37,0.43
other,0.87015,0.575,0.34,0.4
other,0.898116667,0.59,0.32,0.38
other,0.888216667,0.53,0.33,0.39
other,0.610633333,0.22,0.32,0.5
other,0.7159,0.29,0.13,0.235
other,0.4861,0.11,0.26,0.39
other,0.8063,0.415,0.2,0.32
other,0.812216667,0.41,0.21,0.3
other,0.789033333,0.36,0.17,0.3
other,0.756616667,0.54,0.4,0.51
other,0.70845,0.46,0.44,0.6
other,0.610066667,0.2,0.49,0.64
other,0.6102,0.34,0.51,0.675
other,0.688083333,0.43,0.42,0.55
other,0.5929,0.255,0.5,0.655
other,0.8387,0.56,0.34,0.4
other,0.366216667,-0.215,0.24,0.42
other,0.27575,-0.58,0.245,0.445
other,0.74575,0.5,0.365,0.49
other,0.868283333,0.55,0.21,0.26
other,0.9039,0.725,0.09,0.11
other,0.897033333,0.73,0.3,0.34
other,0.867816667,0.71,0.3,0.35
other,0.89825,0.66,0.32,0.36
other,0.901383333,0.73,0.28,0.34
other,0.894216667,0.78,0.31,0.35
other,0.890216667,0.74,0.32,0.35
other,0.875566667,0.74,0.32,0.36
other,0.900083333,0.71,0.29,0.33
other,0.893933333,0.79,0.3,0.34
other,0.89575,0.75,0.31,0.35
other,0.886416667,0.71,0.29,0.34
other,0.893166667,0.68,0.29,0.32
other,0.767116667,0.54,0.31,0.39
other,0.91645,0.7,0.27,0.34
other,0.91185,0.725,0.28,0.35
other,0.9275,0.74,0.25,0.31
other,0.933016667,0.755,0.26,0.31
other,0.9271,0.7,0.2,0.27
other,0.926166667,0.72,0.24,0.3
other,0.91935,0.67,0.21,0.27
other,0.130116667,-0.245,0.3,0.39
other,0.35185,-0.15,0.13,0.39
other,0.50955,0,0.07,0.33
other,0.062016667,-0.31,0.17,0.47
other,0.626083333,0.385,0.41,0.43
other,0.2813,-0.17,0.155,0.46
other,0.167666667,-0.25,0.18,0.47
other,0.4648,0.01,0.18,0.475
other,0.3652,-0.025,0.17,0.46
other,0.469716667,0.06,0.34,0.64
other,0.576966667,0.19,0.14,0.46
other,0.46965,-0.025,0.28,0.49
other,0.2457,-0.06,0.44,0.85
other,0.3408,-0.035,0.4,0.57
other,0.4065,-0.005,0.31,0.45
other,0.444466667,0,0.13,0.435
other,0.520933333,0.18,0.35,0.52
other,0.60345,0.19,0.21,0.385
other,0.407216667,0.03,0.365,0.48
other,0.531566667,0.12,0.19,0.4
other,0.538766667,0.085,0.11,0.37
other,0.917933333,0.81,0.33,0.37
other,0.905,0.76,0.33,0.36
other,0.918416667,0.75,0.31,0.35
other,0.9162,0.8,0.3,0.37
other,0.911416667,0.78,0.28,0.415
other,0.928283333,0.76,0.31,0.35
other,0.899966667,0.81,0.34,0.37
other,0.90315,0.86,0.32,0.365
other,0.917566667,0.74,0.28,0.31
other,0.91445,0.79,0.27,0.33
other,0.912616667,0.81,0.29,0.36
other,0.866233333,0.86,0.4,0.4
other,0.8708,0.87,0.39,0.39
other,0.870933333,0.87,0.39,0.39
other,0.873433333,0.86,0.34,0.35
other,0.864366667,0.86,0.34,0.35
other,0.86475,0.86,0.35,0.36
other,0.86555,0.86,0.35,0.36
other,0.864933333,0.86,0.36,0.36
other,0.86285,0.86,0.35,0.36
other,0.868533333,0.86,0.34,0.35
other,0.868666667,0.87,0.35,0.35
other,0.87225,0.87,0.32,0.325
other,0.870016667,0.87,0.32,0.33
other,0.100166667,-0.27,0.35,0.55
other,-0.261683333,-0.26,0.53,0.53
other,-0.25665,-0.27,0.49,0.5
other,-0.261466667,-0.26,0.49,0.5
other,-0.260833333,-0.26,0.5,0.5
other,-0.150683333,-0.27,0.49,0.5
other,0.691766667,0.69,0.33,0.37
other,0.679,0.68,0.11,0.11
other,0.669566667,0.67,0.12,0.12
other,0.669616667,0.67,0.12,0.12
other,0.6723,0.67,0.1,0.11
other,0.732416667,0.67,0,0.02
other,0.728,0.73,0.01,0.02
other,0.730133333,0.73,0.01,0.02
other,0.730316667,0.73,0.01,0.01
other,0.729666667,0.73,0,0.01
other,0.73105,0.73,0.01,0.01
other,0.770316667,0.73,0.01,0.1
other,0.7644,0.76,0.21,0.22
other,0.751933333,0.75,0.21,0.21
other,0.753933333,0.75,0.2,0.2
other,0.766283333,0.76,0.2,0.21
other,0.760016667,0.76,0.2,0.2
other,0.760833333,0.76,0.2,0.2
other,-0.128933333,-0.385,0.19,0.54
other,-0.17415,-0.44,0.15,0.385
other,0.03865,-0.235,0.155,0.44
other,-0.117916667,-0.29,0.005,0.39
other,-0.21985,-0.4,0.01,0.36
other,0.122716667,-0.21,0.05,0.36
other,-0.046233333,-0.29,0.07,0.34
other,0.27085,-0.15,0.04,0.24
other,0.1523,-0.16,-0.015,0.26
other,0.13835,-0.2,0.08,0.36
other,0.229616667,-0.19,0.03,0.26
other,0.107433333,-0.17,-0.025,0.22
other,0.520516667,0.155,-0.88,-0.565
other,0.79835,0.495,-0.66,-0.42
other,0.036066667,-0.28,0.45,0.61
brushing,-0.6789,-0.83,0.25,0.55
brushing,-0.767316667,-0.9,0.33,0.56
brushing,-0.698516667,-0.85,0.36,0.55
brushing,-0.728733333,-0.87,0.35,0.55
brushing,-0.772166667,-0.94,0.235,0.61
brushing,-0.736716667,-0.87,0.32,0.59
brushing,-0.6593,-0.73,0.425,0.64
brushing,-0.66415,-0.79,0.34,0.64
brushing,-0.73835,-0.84,0.34,0.63
brushing,-0.68905,-0.79,0.42,0.66
brushing,-0.599916667,-0.73,0.5,0.64
brushing,-0.628766667,-0.76,0.44,0.6
brushing,-0.645483333,-0.77,0.4,0.54
brushing,-0.836433333,-0.985,0.26,0.4
brushing,-0.701616667,-0.91,0.23,0.43
brushing,-0.72245,-0.89,0.3,0.48
brushing,-0.6284,-0.8,0.29,0.48
brushing,-0.6989,-0.86,0.21,0.39
brushing,-0.738616667,-0.87,0.31,0.535
brushing,-0.765183333,-1.065,0.14,0.585
brushing,-0.599283333,-1.08,0.23,0.66
brushing,-0.678916667,-0.92,0.385,0.715
brushing,-0.647083333,-0.875,0.45,0.68
brushing,-0.624816667,-0.8,0.42,0.66
brushing,-0.668816667,-0.85,0.44,0.65
brushing,-0.639183333,-0.795,0.36,0.62
brushing,-0.756816667,-0.93,0.39,0.56
brushing,-0.6828,-0.94,0.42,0.69
brushing,-0.7836,-1,0.3,0.64
brushing,-0.7799,-1.125,0.095,0.59
brushing,-0.639716667,-0.75,0.53,0.79
brushing,-0.6881,-0.84,0.38,0.63
brushing,-0.716016667,-0.95,0.345,0.67
brushing,-0.740383333,-0.98,0.18,0.57
brushing,-0.629483333,-0.79,0.46,0.69
brushing,-0.664816667,-0.94,0.22,0.67
