aXperc75,aYsd,aYperc90,aZabsmean,aZrootms,aMsd,gMsd,Label
0.951904,0.005455,-0.27124,0.071758,0.071941,0.004994,1.17793,other
0.947998,0.007061,-0.275635,0.07498,0.075093,0.003117,1.725465,other
0.949707,0.00647,-0.280884,0.07415,0.07459,0.005686,1.125321,other
0.952393,0.009014,-0.276489,0.073618,0.07517,0.007562,1.680189,other
0.95166,0.005361,-0.27356,0.068052,0.068182,0.005058,1.184102,other
0.948975,0.003158,-0.280151,0.067539,0.067628,0.002734,0.666085,other
0.948975,0.004527,-0.276978,0.070298,0.070361,0.003047,0.791971,other
0.948975,0.005912,-0.279175,0.068516,0.068682,0.00394,0.950288,other
0.951416,0.004862,-0.270142,0.0671,0.067202,0.002521,0.877791,other
0.949219,0.00377,-0.276123,0.067529,0.067603,0.002015,0.764256,other
0.949707,0.003832,-0.280762,0.070283,0.07034,0.002622,0.944262,other
0.944824,0.006391,-0.289551,0.075034,0.075162,0.002959,0.80559,other
0.945313,0.006012,-0.292358,0.070586,0.070702,0.004258,0.952024,other
0.94458,0.004957,-0.290039,0.074678,0.074774,0.002642,1.138633,other
0.943115,0.003914,-0.296143,0.07646,0.076514,0.002604,0.623927,other
0.943115,0.006168,-0.295166,0.07123,0.071378,0.003554,1.031959,other
0.941895,0.003787,-0.297729,0.072827,0.072882,0.002493,0.786085,other
0.942139,0.005697,-0.298584,0.071357,0.071458,0.002766,1.341169,other
0.943604,0.004885,-0.296021,0.072705,0.072792,0.003682,1.166479,other
0.939453,0.004863,-0.30542,0.075688,0.075828,0.003262,1.018953,other
0.940186,0.003918,-0.303711,0.081816,0.081884,0.003054,0.650471,other
0.939697,0.005499,-0.301758,0.082524,0.082571,0.002641,0.9152,other
0.939453,0.007902,-0.307129,0.08313,0.083304,0.005356,0.888038,other
0.937012,0.010452,-0.300049,0.085737,0.085957,0.004533,2.33747,other
0.938232,0.0063,-0.304199,0.088647,0.088736,0.002761,1.501638,other
0.941406,0.004521,-0.298096,0.084194,0.084234,0.002676,0.850596,other
0.940674,0.004443,-0.299072,0.087231,0.087298,0.003013,1.028192,other
0.941162,0.00328,-0.298462,0.086152,0.086254,0.002796,0.634992,other
0.94043,0.004787,-0.297241,0.083691,0.083745,0.002628,0.896894,other
0.942383,0.004665,-0.293579,0.082583,0.082635,0.003075,0.864881,other
0.942627,0.00465,-0.292114,0.081733,0.081789,0.002701,0.675278,other
0.94165,0.00535,-0.295288,0.083306,0.083369,0.003495,0.904495,other
0.94043,0.003527,-0.298584,0.084434,0.084475,0.002416,0.712425,other
0.943359,0.00623,-0.292725,0.084702,0.084768,0.00514,1.568264,other
0.943359,0.006461,-0.292114,0.081079,0.081185,0.003048,1.151536,other
0.940918,0.003979,-0.299438,0.083809,0.083876,0.002722,0.812079,other
0.942627,0.009888,-0.286133,0.088169,0.088478,0.003337,1.884089,other
0.942139,0.009792,-0.292358,0.089263,0.089471,0.005756,2.286871,other
0.940674,0.005142,-0.296997,0.089238,0.089287,0.003114,0.770777,other
0.939209,0.006592,-0.295654,0.097666,0.097831,0.003594,1.217654,other
0.944092,0.005418,-0.286499,0.096099,0.096201,0.003874,0.844363,other
0.943359,0.006685,-0.289429,0.09835,0.098562,0.004062,0.785448,other
0.945313,0.007854,-0.278564,0.098228,0.098522,0.004837,1.347233,other
0.947998,0.006871,-0.275635,0.084165,0.084314,0.003337,1.300481,other
0.946045,0.00729,-0.28064,0.08002,0.080149,0.002962,1.838793,other
0.945801,0.004514,-0.285034,0.082378,0.082407,0.002443,1.360025,other
0.94873,0.012939,-0.272217,0.084731,0.085707,0.007986,2.028477,other
0.946045,0.011692,-0.276611,0.085474,0.085675,0.004266,2.35057,other
0.945557,0.005511,-0.283203,0.085566,0.085606,0.003404,1.603775,other
0.94458,0.0122,-0.273193,0.089316,0.089409,0.005237,0.907731,other
0.945801,0.015967,-0.269043,0.090308,0.090413,0.005572,2.777241,other
0.951172,0.026058,-0.254517,0.089292,0.089636,0.011501,4.6459,other
0.947754,0.004651,-0.278198,0.086416,0.086483,0.005618,1.18409,other
0.948242,0.008448,-0.27478,0.088193,0.088329,0.005037,1.465817,other
0.944824,0.005323,-0.284058,0.086226,0.086327,0.004261,2.004716,other
0.944336,0.004112,-0.287476,0.085913,0.085947,0.003039,0.610033,other
0.943604,0.003678,-0.287354,0.084976,0.085031,0.002968,0.754408,other
0.945557,0.013096,-0.278931,0.082241,0.08245,0.006867,1.983538,other
0.945801,0.005487,-0.28418,0.081328,0.081407,0.00299,2.282244,other
0.943848,0.003122,-0.290771,0.079019,0.079053,0.002691,0.809547,other
0.944336,0.003347,-0.29187,0.079102,0.079162,0.002631,0.555122,other
0.940674,0.004025,-0.296997,0.082773,0.082826,0.00241,0.505172,other
0.942383,0.004942,-0.292969,0.085942,0.085977,0.002313,0.72061,other
0.943848,0.00411,-0.288208,0.083442,0.083491,0.002508,0.998613,other
0.94458,0.003249,-0.288208,0.085552,0.085589,0.002603,0.862265,other
0.94458,0.005472,-0.287109,0.083618,0.083646,0.004029,0.597229,other
0.943604,0.009753,-0.282837,0.087266,0.087311,0.003667,2.313458,other
0.942139,0.0042,-0.292969,0.086123,0.086166,0.002667,0.621927,other
0.941895,0.004512,-0.293091,0.088774,0.088816,0.002949,0.769539,other
0.942139,0.004412,-0.29248,0.085879,0.08592,0.002418,0.674442,other
0.943115,0.003438,-0.292358,0.083438,0.083515,0.002758,0.740786,other
0.942383,0.004006,-0.295166,0.083335,0.08337,0.002761,0.527796,other
0.942383,0.004473,-0.295532,0.082524,0.082592,0.003044,0.720156,other
0.941162,0.004935,-0.298096,0.082402,0.082457,0.003296,1.261926,other
0.942383,0.003953,-0.297363,0.080703,0.080753,0.00299,0.737525,other
0.942383,0.004654,-0.29248,0.080947,0.081001,0.002911,0.80741,other
0.943604,0.004137,-0.291138,0.079092,0.07913,0.002872,0.711362,other
0.942871,0.004636,-0.293945,0.078911,0.078979,0.003034,0.53474,other
0.945313,0.008576,-0.283081,0.08021,0.08051,0.00574,1.18977,other
0.943604,0.004423,-0.290527,0.082778,0.082856,0.002901,2.450706,other
0.94458,0.00437,-0.288208,0.079644,0.079674,0.002701,0.517366,other
0.943115,0.00502,-0.290649,0.080894,0.08094,0.002837,1.016886,other
0.942627,0.003718,-0.294189,0.081709,0.081756,0.003164,0.985028,other
0.943115,0.004387,-0.292358,0.078843,0.078879,0.003023,0.622898,other
0.942871,0.003956,-0.293213,0.080732,0.08079,0.002513,0.837602,other
0.942383,0.003909,-0.296753,0.07772,0.077758,0.002664,0.679212,other
0.941895,0.003793,-0.296143,0.078765,0.078818,0.002735,0.718039,other
0.942383,0.003693,-0.297241,0.078213,0.078261,0.003013,0.678507,other
0.942871,0.004259,-0.292969,0.076968,0.077019,0.002569,0.721837,other
